TRatePercent,Health_Events,Geography,CalendarYear,Gender,RaceEthnicity,Textbox3,DT_Count,DT_Population,DT_RATE,DT_LB,DT_UB1,Significance,County_Code
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,All Races,5 to 14,ND,"5,115",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,All Races,15 to 34,ND,"10,546",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,All Races,35 to 64,10,"14,667",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,All Races,65+,ND,"5,325",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,White,All ages,13,"37,048",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,White,5 to 14,ND,"4,969",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,White,15 to 34,ND,"10,239",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,White,35 to 64,ND,"14,454",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,White,65+,ND,"5,296",ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Black,All ages,ND,365,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Black,5 to 14,ND,86,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Black,15 to 34,ND,142,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Black,35 to 64,ND,111,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Black,65+,ND,10,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Hispanic,All ages,ND,407,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Hispanic,5 to 14,ND,92,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Hispanic,15 to 34,ND,153,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Hispanic,35 to 64,ND,113,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Snyder,2002,Total,Hispanic,65+,ND,12,ND,ND,ND,-,109
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,All Races,All ages,64,"79,411",7.7,5.8,9.6,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,All Races,5 to 14,ND,"9,716",ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,All Races,15 to 34,ND,"19,059",ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,All Races,35 to 64,22,"32,233",7.2,4.2,10.2,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,All Races,65+,26,"14,390",18.0,11.1,24.9,,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,White,All ages,60,"77,333",7.3,5.5,9.1,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,White,5 to 14,ND,"9,598",ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,White,15 to 34,ND,"17,934",ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,White,35 to 64,20,"31,558",6.7,3.8,9.6,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,White,65+,25,"14,314",17.2,10.5,23.9,,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Black,All ages,ND,"1,586",ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Black,5 to 14,ND,36,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Black,15 to 34,ND,979,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Black,35 to 64,ND,519,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Black,65+,ND,36,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Hispanic,All ages,ND,622,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Hispanic,5 to 14,ND,66,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Hispanic,15 to 34,ND,311,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Hispanic,35 to 64,ND,172,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Somerset,2002,Total,Hispanic,65+,ND,43,ND,ND,ND,-,111
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,All Races,All ages,ND,"6,512",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,All Races,5 to 14,ND,669,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,All Races,15 to 34,ND,"1,511",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,All Races,35 to 64,ND,"2,660",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,All Races,65+,ND,"1,425",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,White,All ages,ND,"6,220",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,White,5 to 14,ND,649,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,White,15 to 34,ND,"1,286",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,White,35 to 64,ND,"2,633",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,White,65+,ND,"1,411",ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Black,All ages,ND,187,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Black,5 to 14,ND,9,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Black,15 to 34,ND,173,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Black,35 to 64,ND,1,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Black,65+,ND,2,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Hispanic,All ages,ND,79,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Hispanic,5 to 14,ND,9,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Hispanic,15 to 34,ND,56,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Hispanic,35 to 64,ND,7,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Sullivan,2002,Total,Hispanic,65+,ND,6,ND,ND,ND,-,113
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,All Races,All ages,79,"41,744",19.6,15.3,23.9,,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,All Races,5 to 14,10,"5,932",ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,All Races,15 to 34,19,"9,209",ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,All Races,35 to 64,25,"17,708",15.5,9.4,21.6,,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,All Races,65+,18,"6,557",ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,White,All ages,77,"41,176",19.3,15.0,23.6,+,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,White,5 to 14,10,"5,828",ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,White,15 to 34,18,"9,054",ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,White,35 to 64,25,"17,494",15.7,9.5,21.9,,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,White,65+,18,"6,518",ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Black,All ages,ND,180,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Black,5 to 14,ND,38,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Black,15 to 34,ND,54,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Black,35 to 64,ND,52,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Black,65+,ND,15,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Hispanic,All ages,ND,310,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Hispanic,5 to 14,ND,72,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Hispanic,15 to 34,ND,97,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Hispanic,35 to 64,ND,98,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Susquehanna,2002,Total,Hispanic,65+,ND,16,ND,ND,ND,-,115
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,All Races,All ages,27,"41,458",6.5,4.0,9.0,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,All Races,5 to 14,ND,"5,368",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,All Races,15 to 34,ND,"10,840",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,All Races,35 to 64,10,"16,322",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,All Races,65+,ND,"6,716",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,White,All ages,27,"40,694",6.6,4.1,9.1,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,White,5 to 14,ND,"5,236",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,White,15 to 34,ND,"10,513",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,White,35 to 64,10,"16,112",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,White,65+,ND,"6,670",ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Black,All ages,ND,292,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Black,5 to 14,ND,53,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Black,15 to 34,ND,166,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Black,35 to 64,ND,43,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Black,65+,ND,15,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Hispanic,All ages,ND,235,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Hispanic,5 to 14,ND,46,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Hispanic,15 to 34,ND,92,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Hispanic,35 to 64,ND,61,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Tioga,2002,Total,Hispanic,65+,ND,12,ND,ND,ND,-,117
   Age-Adjusted Rate,Asthma,Union,2002,Total,All Races,All ages,17,"42,037",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,All Races,5 to 14,ND,"4,622",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,All Races,15 to 34,ND,"13,490",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,All Races,35 to 64,ND,"16,213",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,All Races,65+,ND,"5,725",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,White,All ages,15,"37,901",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,White,5 to 14,ND,"4,443",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,White,15 to 34,ND,"11,202",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,White,35 to 64,ND,"14,718",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,White,65+,ND,"5,656",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Black,All ages,ND,"3,174",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Black,5 to 14,ND,76,ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Black,15 to 34,ND,"1,850",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Black,35 to 64,ND,"1,200",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Black,65+,ND,12,ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Hispanic,All ages,ND,"1,733",ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Hispanic,5 to 14,ND,84,ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Hispanic,15 to 34,ND,814,ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Hispanic,35 to 64,ND,761,ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Union,2002,Total,Hispanic,65+,ND,31,ND,ND,ND,-,119
   Age-Adjusted Rate,Asthma,Venango,2002,Total,All Races,All ages,92,"56,623",15.1,12.0,18.2,,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,All Races,5 to 14,ND,"7,481",ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,All Races,15 to 34,14,"12,957",ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,All Races,35 to 64,45,"23,489",18.6,13.2,24.0,,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,All Races,65+,26,"9,588",27.3,16.8,37.8,,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,White,All ages,92,"55,312",15.4,12.3,18.5,+,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,White,5 to 14,ND,"7,160",ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,White,15 to 34,14,"12,509",ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,White,35 to 64,45,"23,145",18.9,13.4,24.4,+,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,White,65+,26,"9,502",27.6,17.0,38.2,,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Black,All ages,ND,678,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Black,5 to 14,ND,154,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Black,15 to 34,ND,273,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Black,35 to 64,ND,168,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Black,65+,ND,41,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Hispanic,All ages,ND,324,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Hispanic,5 to 14,ND,67,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Hispanic,15 to 34,ND,126,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Hispanic,35 to 64,ND,84,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Venango,2002,Total,Hispanic,65+,ND,23,ND,ND,ND,-,121
   Age-Adjusted Rate,Asthma,Warren,2002,Total,All Races,All ages,25,"42,966",5.4,3.3,7.5,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,All Races,5 to 14,ND,"5,790",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,All Races,15 to 34,ND,"9,254",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,All Races,35 to 64,10,"18,249",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,All Races,65+,ND,"7,314",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,White,All ages,25,"42,426",5.5,3.3,7.7,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,White,5 to 14,ND,"5,673",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,White,15 to 34,ND,"9,120",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,White,35 to 64,10,"18,043",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,White,65+,ND,"7,274",ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Black,All ages,ND,105,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Black,5 to 14,ND,24,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Black,15 to 34,ND,33,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Black,35 to 64,ND,31,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Black,65+,ND,6,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Hispanic,All ages,ND,191,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Hispanic,5 to 14,ND,31,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Hispanic,15 to 34,ND,65,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Hispanic,35 to 64,ND,61,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Warren,2002,Total,Hispanic,65+,ND,19,ND,ND,ND,-,123
   Age-Adjusted Rate,Asthma,Washington,2002,Total,All Races,All ages,385,"202,968",17.1,15.4,18.8,,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,All Races,5 to 14,20,"25,585",8.0,4.5,11.5,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,All Races,15 to 34,36,"46,414",7.8,5.3,10.3,,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,All Races,35 to 64,154,"84,508",17.5,14.7,20.3,,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,All Races,65+,141,"35,600",39.1,32.6,45.6,+,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,White,All ages,346,"193,494",15.9,14.2,17.6,+,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,White,5 to 14,18,"23,700",ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,White,15 to 34,31,"43,919",7.1,4.6,9.6,,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,White,35 to 64,140,"81,395",16.4,13.7,19.1,+,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,White,65+,132,"34,470",37.8,31.4,44.2,+,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Black,All ages,35,"6,783",52.3,35.0,69.6,,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Black,5 to 14,ND,"1,237",ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Black,15 to 34,ND,"1,751",ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Black,35 to 64,13,"2,388",ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Black,65+,ND,958,ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Hispanic,All ages,ND,"1,340",ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Hispanic,5 to 14,ND,263,ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Hispanic,15 to 34,ND,368,ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Hispanic,35 to 64,ND,422,ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Washington,2002,Total,Hispanic,65+,ND,155,ND,ND,ND,-,125
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,All Races,All ages,54,"48,292",11.7,8.6,14.8,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,All Races,5 to 14,ND,"6,584",ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,All Races,15 to 34,ND,"10,200",ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,All Races,35 to 64,27,"20,394",13.8,8.6,19.0,,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,All Races,65+,ND,"8,555",ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,White,All ages,48,"46,983",10.5,7.5,13.5,,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,White,5 to 14,ND,"6,400",ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,White,15 to 34,ND,"9,792",ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,White,35 to 64,23,"19,830",11.7,6.9,16.5,,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,White,65+,ND,"8,478",ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Black,All ages,ND,776,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Black,5 to 14,ND,92,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Black,15 to 34,ND,260,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Black,35 to 64,ND,355,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Black,65+,ND,41,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Hispanic,All ages,ND,889,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Hispanic,5 to 14,ND,186,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Hispanic,15 to 34,ND,267,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Hispanic,35 to 64,ND,320,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Wayne,2002,Total,Hispanic,65+,ND,51,ND,ND,ND,-,127
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,All Races,All ages,738,"366,836",18.5,17.2,19.8,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,All Races,5 to 14,46,"46,026",10.0,7.1,12.9,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,All Races,15 to 34,83,"79,365",10.6,8.3,12.9,,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,All Races,35 to 64,285,"156,037",17.8,15.7,19.9,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,All Races,65+,253,"67,058",36.9,32.4,41.4,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,White,All ages,700,"354,115",18.1,16.8,19.4,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,White,5 to 14,42,"43,544",9.6,6.7,12.5,,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,White,15 to 34,78,"75,825",10.4,8.1,12.7,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,White,35 to 64,269,"151,630",17.2,15.1,19.3,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,White,65+,245,"66,028",36.3,31.8,40.8,+,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Black,All ages,29,"7,874",40.2,25.6,54.8,,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Black,5 to 14,ND,"1,380",ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Black,15 to 34,ND,"2,294",ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Black,35 to 64,14,"2,812",ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Black,65+,ND,761,ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Hispanic,All ages,ND,"2,072",ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Hispanic,5 to 14,ND,387,ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Hispanic,15 to 34,ND,655,ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Hispanic,35 to 64,ND,689,ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Westmoreland,2002,Total,Hispanic,65+,ND,141,ND,ND,ND,-,129
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,All Races,All ages,38,"27,926",13.2,9.0,17.4,,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,All Races,5 to 14,ND,"3,919",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,All Races,15 to 34,ND,"6,929",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,All Races,35 to 64,12,"11,607",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,All Races,65+,13,"3,851",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,White,All ages,38,"27,474",13.4,9.1,17.7,,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,White,5 to 14,ND,"3,818",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,White,15 to 34,ND,"6,754",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,White,35 to 64,12,"11,475",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,White,65+,13,"3,839",ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Black,All ages,ND,166,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Black,5 to 14,ND,46,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Black,15 to 34,ND,80,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Black,35 to 64,ND,25,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Black,65+,ND,4,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Hispanic,All ages,ND,259,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Hispanic,5 to 14,ND,55,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Hispanic,15 to 34,ND,97,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Hispanic,35 to 64,ND,64,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,Wyoming,2002,Total,Hispanic,65+,ND,10,ND,ND,ND,-,131
   Age-Adjusted Rate,Asthma,York,2002,Total,All Races,All ages,372,"388,885",9.7,8.7,10.7,-,133
   Age-Adjusted Rate,Asthma,York,2002,Total,All Races,5 to 14,40,"54,162",7.5,5.2,9.8,-,133
